Jahr 	Mittel 1 % 	Abweichung 1 % 	Mittel 100 % 	Abweichung 100 %
2025 	18.06. 	6 Tage 	  	 
2024 	12.06. 	0 Tage 	16.07. 	-4 Tage
2023 	04.06. 	-8 Tage 	24.07. 	4 Tage
2022 	18.06. 	6 Tage 	22.07. 	2 Tage
2021 	23.06. 	11 Tage 	27.07. 	7 Tage
2020 	17.06. 	5 Tage 	23.07. 	3 Tage
2019 	16.06. 	4 Tage 	21.07. 	1 Tag
2018 	11.06. 	-1 Tag 	15.07. 	-5 Tage
2017 	12.06. 	0 Tage 	22.07. 	2 Tage
2016 	15.06. 	3 Tage 	21.07. 	1 Tag
2015 	16.06. 	4 Tage 	24.07. 	4 Tage
2014 	15.06. 	3 Tage 	19.07. 	-1 Tag
2013 	27.06. 	15 Tage 	26.07. 	6 Tage
2012 	18.06. 	6 Tage 	22.07. 	2 Tage
2011 	21.06. 	9 Tage 	21.07. 	1 Tag
2010 	26.06. 	14 Tage 	24.07. 	4 Tage
2009 	21.06. 	9 Tage 	21.07. 	1 Tag
2008 	12.06. 	0 Tage 	19.07. 	-1 Tag
2007 	13.06. 	1 Tag 	16.07. 	-4 Tage
2006 	13.06. 	1 Tag 	20.07. 	0 Tage
2005 	16.06. 	4 Tage 	20.07. 	0 Tage
2004 	17.06. 	5 Tage 	22.07. 	2 Tage
2003 	05.06. 	-7 Tage 	13.07. 	-7 Tage
2002 	13.06. 	1 Tag 	18.07. 	-2 Tage
2001 	07.06. 	-5 Tage 	20.07. 	0 Tage
2000 	25.05. 	-18 Tage 	15.07. 	-5 Tage
1999 	15.06. 	3 Tage 	16.07. 	-4 Tage
1998 	04.06. 	-8 Tage 	18.07. 	-2 Tage
1997 	09.06. 	-3 Tage 	22.07. 	2 Tage
1996 	15.06. 	3 Tage 	23.07. 	3 Tage
1995 	21.05. 	-22 Tage 	21.07. 	1 Tag
1994 	21.05. 	-22 Tage 	17.07. 	-3 Tage
1993 	26.05. 	-17 Tage 	13.07. 	-7 Tage
1992 	02.06. 	-10 Tage 	14.07. 	-6 Tage
